,episode,timesteps,penalties,score
674,674,79,1,-67
675,675,23,0,-2
676,676,96,2,-93
677,677,10,0,11
678,678,106,3,-112
679,679,34,1,-22
680,680,51,1,-39
681,681,132,1,-120
682,682,31,0,-10
683,683,55,3,-61
684,684,20,1,-8
685,685,12,0,9
686,686,34,4,-49
687,687,75,5,-99
688,688,69,3,-75
689,689,21,0,0
690,690,31,3,-37
691,691,14,1,-2
692,692,19,1,-7
693,693,93,1,-81
694,694,38,2,-35
695,695,47,1,-35
696,696,45,2,-42
697,697,19,1,-7
698,698,39,2,-36
699,699,25,1,-13
700,700,33,0,-12
701,701,19,0,2
702,702,32,1,-20
703,703,20,1,-8
704,704,38,1,-26
705,705,15,0,6
706,706,30,0,-9
707,707,50,4,-65
708,708,12,0,9
709,709,91,2,-88
710,710,8,0,13
711,711,72,3,-78
712,712,93,6,-126
713,713,70,4,-85
714,714,7,0,14
715,715,131,4,-146
716,716,12,0,9
717,717,7,0,14
718,718,64,5,-88
719,719,11,0,10
720,720,45,1,-33
721,721,91,1,-79
722,722,21,1,-9
723,723,108,9,-168
724,724,20,0,1
725,725,66,1,-54
726,726,71,0,-50
727,727,50,1,-38
728,728,71,0,-50
729,729,73,4,-88
730,730,21,0,0
731,731,41,0,-20
732,732,82,2,-79
733,733,25,0,-4
734,734,60,3,-66
735,735,53,4,-68
736,736,21,2,-18
737,737,45,3,-51
738,738,17,1,-5
739,739,13,1,-1
740,740,13,1,-1
741,741,26,2,-23
742,742,89,4,-104
743,743,39,3,-45
744,744,72,1,-60
745,745,12,1,0
746,746,57,1,-45
747,747,38,0,-17
748,748,12,0,9
749,749,23,1,-11
750,750,19,0,2
751,751,19,2,-16
752,752,66,4,-81
753,753,22,0,-1
754,754,62,2,-59
755,755,52,1,-40
756,756,39,2,-36
757,757,60,1,-48
758,758,11,1,1
759,759,60,0,-39
760,760,32,2,-29
761,761,66,2,-63
762,762,40,2,-37
763,763,75,2,-72
764,764,85,2,-82
765,765,107,4,-122
766,766,15,0,6
767,767,8,0,13
768,768,9,0,12
769,769,8,0,13
770,770,78,3,-84
771,771,111,2,-108
772,772,53,1,-41
773,773,6,0,15
774,774,122,3,-128
775,775,37,1,-25
776,776,80,1,-68
777,777,88,4,-103
778,778,97,4,-112
779,779,14,1,-2
780,780,24,2,-21
781,781,86,4,-101
782,782,19,0,2
783,783,57,0,-36
784,784,73,2,-70
785,785,65,1,-53
786,786,12,0,9
787,787,53,1,-41
788,788,19,0,2
789,789,9,0,12
790,790,12,0,9
791,791,29,0,-8
792,792,90,1,-78
793,793,18,0,3
794,794,43,0,-22
795,795,65,1,-53
796,796,16,1,-4
797,797,51,1,-39
798,798,9,0,12
799,799,17,0,4
800,800,68,4,-83
801,801,63,1,-51
802,802,37,1,-25
803,803,54,3,-60
804,804,56,1,-44
805,805,11,1,1
806,806,86,1,-74
807,807,72,4,-87
808,808,42,0,-21
809,809,25,1,-13
810,810,21,0,0
811,811,11,0,10
812,812,21,0,0
813,813,46,2,-43
814,814,78,0,-57
815,815,13,1,-1
816,816,27,2,-24
817,817,30,3,-36
818,818,17,0,4
819,819,50,4,-65
820,820,14,0,7
821,821,51,3,-57
822,822,20,0,1
823,823,9,0,12
824,824,35,3,-41
825,825,14,0,7
826,826,7,0,14
827,827,16,1,-4
828,828,32,0,-11
829,829,19,0,2
830,830,25,0,-4
831,831,18,0,3
832,832,42,3,-48
833,833,43,2,-40
834,834,107,3,-113
835,835,16,0,5
836,836,13,1,-1
837,837,35,2,-32
838,838,32,0,-11
839,839,12,0,9
840,840,132,5,-156
841,841,21,0,0
842,842,35,1,-23
843,843,74,0,-53
844,844,25,0,-4
845,845,15,1,-3
846,846,56,3,-62
847,847,24,0,-3
848,848,33,3,-39
849,849,36,1,-24
850,850,27,0,-6
851,851,15,0,6
852,852,46,2,-43
853,853,30,1,-18
854,854,25,1,-13
855,855,34,1,-22
856,856,10,0,11
857,857,38,1,-26
858,858,107,1,-95
859,859,20,0,1
860,860,13,1,-1
861,861,30,0,-9
862,862,157,8,-208
863,863,49,2,-46
864,864,15,0,6
865,865,60,2,-57
866,866,7,0,14
867,867,34,2,-31
868,868,34,0,-13
869,869,13,0,8
870,870,19,0,2
871,871,36,1,-24
872,872,87,3,-93
873,873,19,1,-7
874,874,13,1,-1
875,875,19,0,2
876,876,81,3,-87
877,877,67,0,-46
878,878,21,0,0
879,879,26,0,-5
880,880,15,1,-3
881,881,66,3,-72
882,882,19,0,2
883,883,54,1,-42
884,884,16,1,-4
885,885,89,3,-95
886,886,34,2,-31
887,887,35,3,-41
888,888,28,0,-7
889,889,12,0,9
890,890,42,1,-30
891,891,76,4,-91
892,892,29,0,-8
893,893,50,3,-56
894,894,52,0,-31
895,895,76,6,-109
896,896,14,1,-2
897,897,63,2,-60
898,898,50,0,-29
899,899,19,1,-7
900,900,43,1,-31
901,901,35,1,-23
902,902,41,2,-38
903,903,30,1,-18
